epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.604,1.241,4.24529,1.61922,0.3655,0.13859,0.11445,0.07053,1.12118,3.00566,1.68609,8.31937e-05,8.31937e-05,8.31937e-05
2,334.002,1.18199,3.52356,1.5581,0.26334,0.46598,0.27798,0.18838,1.12624,2.31427,1.67351,0.000164878,0.000164878,0.000164878
3,506.573,1.16915,3.05907,1.53648,0.41478,0.54753,0.46404,0.32293,1.0843,2.24326,1.60876,0.000244913,0.000244913,0.000244913
4,677.997,1.15988,2.68036,1.51323,0.44239,0.63861,0.55043,0.38443,1.07251,1.69658,1.5805,0.000242575,0.000242575,0.000242575
5,850.617,1.13879,2.42618,1.47979,0.57603,0.6663,0.64963,0.46779,1.04413,1.61056,1.55386,0.0002401,0.0002401,0.0002401
6,1023.36,1.10667,2.22939,1.45933,0.55051,0.70764,0.69685,0.49056,1.06868,1.44663,1.5583,0.000237625,0.000237625,0.000237625
7,1195.03,1.10068,2.0614,1.45164,0.60373,0.74686,0.73445,0.52739,1.03137,1.5012,1.52563,0.00023515,0.00023515,0.00023515
8,1362.57,1.06645,1.90601,1.42005,0.61661,0.80822,0.79536,0.56776,1.03294,1.22744,1.51472,0.000232675,0.000232675,0.000232675
9,1524.54,1.05988,1.79141,1.40805,0.67211,0.7743,0.79385,0.56123,1.01425,1.17038,1.49411,0.0002302,0.0002302,0.0002302
10,1688.84,1.06049,1.68227,1.40684,0.69823,0.84042,0.81854,0.58041,1.04527,1.07891,1.52758,0.000227725,0.000227725,0.000227725
11,1857.85,1.04346,1.63395,1.39799,0.7238,0.85763,0.84595,0.60236,1.03573,0.93392,1.50786,0.00022525,0.00022525,0.00022525
12,2020.8,1.02504,1.55692,1.37942,0.69878,0.85593,0.84482,0.61055,0.99742,0.95575,1.47923,0.000222775,0.000222775,0.000222775
13,2191.41,1.01336,1.49889,1.37294,0.75182,0.8742,0.88615,0.64188,0.99286,0.96425,1.46708,0.0002203,0.0002203,0.0002203
14,2350.11,1.01844,1.43503,1.37127,0.7451,0.87821,0.87209,0.62445,1.01325,0.89935,1.4694,0.000217825,0.000217825,0.000217825
15,2579.81,1.01896,1.4413,1.37222,0.76919,0.86273,0.86588,0.62807,0.9964,0.86738,1.46309,0.00021535,0.00021535,0.00021535
16,2885.64,1.00373,1.36156,1.36292,0.82861,0.85913,0.89447,0.64995,0.99969,0.81309,1.46766,0.000212875,0.000212875,0.000212875
17,3127.46,0.99528,1.32102,1.35852,0.80516,0.85869,0.88406,0.64819,0.98767,0.81655,1.45947,0.0002104,0.0002104,0.0002104
18,3274.87,0.98969,1.31997,1.35095,0.83769,0.88868,0.90313,0.6547,0.99386,0.79562,1.46252,0.000207925,0.000207925,0.000207925
19,3456.24,0.97609,1.26756,1.34179,0.78773,0.913,0.90479,0.66808,0.95624,0.77162,1.4234,0.00020545,0.00020545,0.00020545
20,3654.08,0.9686,1.22822,1.33019,0.78842,0.88243,0.89171,0.64924,0.97051,0.81476,1.43867,0.000202975,0.000202975,0.000202975
21,3853.01,0.97424,1.18856,1.32682,0.85723,0.89189,0.91942,0.66918,0.98487,0.733,1.45012,0.0002005,0.0002005,0.0002005
