epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9228,1.23359,4.21988,1.61464,0.36857,0.17315,0.11845,0.07473,1.15613,2.98877,1.70481,8.30546e-05,8.30546e-05,8.30546e-05
2,128.211,1.12631,3.35435,1.499,0.33799,0.45195,0.3238,0.22106,1.13923,2.20713,1.67113,0.000155406,0.000155406,0.000155406
3,188.658,1.13722,2.82778,1.49033,0.4941,0.61111,0.54357,0.37962,1.09065,1.91593,1.61021,0.000216758,0.000216758,0.000216758
4,248.7,1.12231,2.4713,1.46965,0.57642,0.6795,0.64142,0.44984,1.08199,1.46558,1.58861,0.0002005,0.0002005,0.0002005
5,309.941,1.10387,2.17103,1.44302,0.70504,0.66723,0.70343,0.49577,1.06826,1.32928,1.54594,0.000184,0.000184,0.000184
6,369.522,0.9972,2.16735,1.50752,0.65652,0.79015,0.77366,0.55222,1.02741,1.24095,1.51042,0.0001675,0.0001675,0.0001675
7,427.561,0.96342,1.90587,1.46354,0.77443,0.77554,0.81449,0.59267,0.99433,1.06377,1.47616,0.000151,0.000151,0.000151
8,485.256,0.92119,1.70589,1.41669,0.74848,0.86102,0.86217,0.63503,0.97787,1.04514,1.45912,0.0001345,0.0001345,0.0001345
9,543.014,0.90471,1.57139,1.40788,0.78518,0.84816,0.88801,0.66214,0.94536,0.92555,1.42468,0.000118,0.000118,0.000118
10,601.264,0.88287,1.45438,1.38403,0.81074,0.85486,0.89033,0.66116,0.94555,0.89826,1.41483,0.0001015,0.0001015,0.0001015
11,659.293,0.86452,1.35579,1.36498,0.84861,0.85687,0.89682,0.66219,0.94324,0.83529,1.41358,8.5e-05,8.5e-05,8.5e-05
12,717.661,0.84803,1.28301,1.35235,0.84975,0.87865,0.90858,0.68561,0.91668,0.80011,1.38915,6.85e-05,6.85e-05,6.85e-05
13,775.716,0.82974,1.22854,1.324,0.85763,0.89696,0.91529,0.69246,0.91653,0.76068,1.38739,5.2e-05,5.2e-05,5.2e-05
14,833.914,0.81288,1.18362,1.30878,0.87598,0.89306,0.921,0.69656,0.91247,0.72802,1.38267,3.55e-05,3.55e-05,3.55e-05
15,891.721,0.80725,1.16464,1.31265,0.88762,0.89072,0.92143,0.69891,0.91127,0.71478,1.38004,1.9e-05,1.9e-05,1.9e-05
